settlement_date,settlement_code,profiled_spm_consumption_sp01,profiled_spm_consumption_sp02,profiled_spm_consumption_sp03,profiled_spm_consumption_sp04,profiled_spm_consumption_sp05,profiled_spm_consumption_sp06,profiled_spm_consumption_sp07,profiled_spm_consumption_sp08,profiled_spm_consumption_sp09,profiled_spm_consumption_sp10,profiled_spm_consumption_sp11,profiled_spm_consumption_sp12,profiled_spm_consumption_sp13,profiled_spm_consumption_sp14,profiled_spm_consumption_sp15,profiled_spm_consumption_sp16,profiled_spm_consumption_sp17,profiled_spm_consumption_sp18,profiled_spm_consumption_sp19,profiled_spm_consumption_sp20,profiled_spm_consumption_sp21,profiled_spm_consumption_sp22,profiled_spm_consumption_sp23,profiled_spm_consumption_sp24,profiled_spm_consumption_sp25,profiled_spm_consumption_sp26,profiled_spm_consumption_sp27,profiled_spm_consumption_sp28,profiled_spm_consumption_sp29,profiled_spm_consumption_sp30,profiled_spm_consumption_sp31,profiled_spm_consumption_sp32,profiled_spm_consumption_sp33,profiled_spm_consumption_sp34,profiled_spm_consumption_sp35,profiled_spm_consumption_sp36,profiled_spm_consumption_sp37,profiled_spm_consumption_sp38,profiled_spm_consumption_sp39,profiled_spm_consumption_sp40
01/01/2023 00:00,SF,28.558,28.138,27.903,25.763,24.605,23.81,22.876,22.926,20.833,20.063,20.27,20.409,20.936,20.322,19.927,20.382,23.539,22.981,26.038,27.25,30.226,30.412,32.36,35.499,37.354,39.576,42.303,36.164,35.368,35.181,34.087,35.542,38.217,38.869,40.097,40.56,39.924,39.026,37.419,37.7
01/01/2023 00:00,R1,28.27,27.387,27.201,25.12,24.004,23.178,22.278,22.344,20.276,19.556,19.757,19.886,20.432,19.862,19.552,20.294,23.451,22.904,25.91,27.112,30.118,30.337,32.289,35.328,37.17,39.515,42.215,36.073,35.293,35.214,34,35.44,38.026,38.752,39.992,40.44,39.778,38.952,37.318,37.559
02/01/2023 00:00,SF,24.168,26.551,24.822,23.088,22.738,20.726,20.876,19.693,19.667,18.878,18.61,19.439,19.674,21.208,21.312,22.15,23.796,24.507,26.977,30.827,31.842,34.153,35.065,33.695,34.027,33.592,37.28,34.801,32.169,32.97,34.346,33.812,33.717,36.011,37.813,37.083,37.518,36.704,32.978,29.765
02/01/2023 00:00,R1,23.891,25.878,24.181,22.492,22.196,20.215,20.347,19.163,19.161,18.421,18.151,18.965,19.197,20.735,20.938,22.093,23.72,24.424,26.865,30.655,31.638,33.996,34.942,33.586,33.928,33.433,37.192,34.696,32.067,32.913,34.246,33.769,33.649,35.958,37.678,36.98,37.386,36.581,32.904,29.734
03/01/2023 00:00,SF,22.778,23.675,22.719,22.29,21.681,21.221,20.737,20.058,19.699,19.657,20.045,20.674,22.931,25.963,28.127,28.282,30.088,30.771,31.158,31.024,30.695,30.29,30.556,30.917,31.491,31.793,31.803,31.191,30.669,30.572,31.232,33.034,36.516,41.43,45.139,45.461,45.622,43.94,42.301,40.257
03/01/2023 00:00,R1,22.649,23.206,22.292,21.851,21.246,20.751,20.278,19.617,19.262,19.224,19.641,20.28,22.495,25.499,27.734,28.251,30.059,30.74,31.134,31.023,30.693,30.292,30.555,30.9,31.457,31.748,31.782,31.158,30.646,30.536,31.176,32.984,36.482,41.384,45.054,45.401,45.57,43.898,42.213,40.19
04/01/2023 00:00,SF,21.387,22.008,21.172,20.496,19.966,19.375,18.744,18.378,18.094,18.158,18.678,19.381,21.836,25.153,27.34,27.647,29.287,29.482,29.793,29.385,29.353,28.863,28.725,28.549,29.659,29.893,29.95,28.96,28.927,28.63,29.23,31.066,34.719,39.501,42.702,43.439,44.054,42.354,40.138,38.268
04/01/2023 00:00,R1,21.268,21.569,20.793,20.11,19.584,18.971,18.356,17.995,17.725,17.783,18.322,19.013,21.441,24.73,26.977,27.621,29.275,29.482,29.791,29.407,29.391,28.892,28.747,28.573,29.661,29.878,29.941,28.945,28.934,28.605,29.181,31.007,34.69,39.482,42.643,43.396,44.022,42.321,40.089,38.205
05/01/2023 00:00,SF,20.881,21.476,20.324,19.89,19.126,18.481,17.806,17.132,16.819,16.979,17.594,18.51,20.933,23.961,26.485,26.668,28.465,28.897,29.093,28.98,28.951,28.012,28.122,28.178,29.155,29.19,29.539,28.593,28.295,27.982,28.719,30.968,34.593,39.329,42.954,43.505,43.551,41.874,39.73,37.983
05/01/2023 00:00,R1,20.818,21.167,20.038,19.604,18.849,18.174,17.505,16.846,16.515,16.694,17.31,18.22,20.619,23.621,26.197,26.632,28.474,28.902,29.113,29.014,28.998,28.038,28.159,28.21,29.183,29.197,29.536,28.596,28.315,27.974,28.704,30.957,34.611,39.362,42.948,43.51,43.559,41.878,39.732,37.982
