settlement_date,settlement_code,profiled_spm_consumption_sp41,profiled_spm_consumption_sp42,profiled_spm_consumption_sp43,profiled_spm_consumption_sp44,profiled_spm_consumption_sp45,profiled_spm_consumption_sp46,profiled_spm_consumption_sp47,profiled_spm_consumption_sp48,profiled_spm_consumption_sp49,profiled_spm_consumption_sp50
01/01/2023 00:00,SF,35.097,33.999,31.378,29.576,30.251,26.72,25.4,24.93,,
01/01/2023 00:00,R1,35.059,33.979,31.316,29.513,30.181,26.547,25.272,24.758,,
02/01/2023 00:00,SF,31.626,30.052,30.907,30.475,27.846,26.171,23.867,22.507,,
02/01/2023 00:00,R1,31.591,30.023,30.856,30.378,27.756,26.031,23.731,22.361,,
03/01/2023 00:00,SF,38.643,36.505,34.652,32.507,30.204,27.438,24.166,22.456,,
03/01/2023 00:00,R1,38.614,36.503,34.65,32.506,30.2,27.386,24.097,22.383,,
04/01/2023 00:00,SF,37.008,35.223,33.534,31.221,28.727,26.323,23.303,21.406,,
04/01/2023 00:00,R1,36.98,35.218,33.528,31.187,28.722,26.27,23.247,21.33,,
05/01/2023 00:00,SF,36.195,34.595,32.707,30.32,28.481,25.761,23.011,21.094,,
05/01/2023 00:00,R1,36.214,34.632,32.721,30.313,28.503,25.753,23.006,21.081,,
06/01/2023 00:00,SF,35.655,34.131,32.666,30.809,28.559,26.601,23.912,23.166,,
06/01/2023 00:00,R1,35.695,34.194,32.708,30.834,28.596,26.574,23.885,23.183,,
07/01/2023 00:00,SF,34.954,33.575,31.941,30.316,28.464,26.688,24.332,22.893,,
07/01/2023 00:00,R1,35.005,33.63,31.978,30.355,28.539,26.711,24.343,22.873,,
08/01/2023 00:00,SF,37.908,36.208,33.929,31.839,29.391,26.869,23.451,21.793,,
08/01/2023 00:00,R1,37.947,36.287,34.009,31.886,29.461,26.894,23.464,21.81,,
09/01/2023 00:00,SF,38.593,36.845,34.689,32.433,30.243,27.497,24.223,22.284,,
09/01/2023 00:00,R1,38.597,36.891,34.738,32.454,30.29,27.501,24.232,22.293,,
10/01/2023 00:00,SF,38.608,36.469,34.574,32.442,30.11,27.262,24.021,22.512,,
10/01/2023 00:00,R1,38.667,36.547,34.642,32.505,30.195,27.314,24.06,22.564,,
11/01/2023 00:00,SF,38.412,36.626,34.771,32.451,30.12,27.443,24.266,22.391,,
11/01/2023 00:00,R1,38.385,36.633,34.784,32.452,30.135,27.435,24.261,22.391,,
12/01/2023 00:00,SF,36.85,35.269,33.274,30.868,28.952,26.2,23.468,21.716,,
12/01/2023 00:00,R1,36.817,35.263,33.26,30.849,28.974,26.185,23.449,21.664,,
13/01/2023 00:00,SF,36.089,34.59,33.037,31.146,28.922,26.788,24.045,22.856,,
